Tanggal,Hujan,Temperatur,Kecepatan Angin,Arah Angin,Tekanan Udara,Kelembaban,UV
2022-09-06 00:00:00,0.0,24.7,0.85,81.0,1008.9,94.92,0.0
2022-09-06 01:00:00,0.0,24.04,0.09,30.0,1008.2,94.92,0.0
2022-09-06 02:00:00,0.0,24.16,0.96,52.0,1007.7,94.92,0.0
2022-09-06 03:00:00,0.0,24.04,1.64,0.0,1007.42,94.92,0.0
2022-09-06 04:00:00,0.0,23.9,1.1,26.0,1007.16,94.92,0.0
2022-09-06 05:00:00,0.0,23.94,0.51,24.0,1007.2,94.92,0.0
2022-09-06 06:00:00,0.0,24.0,1.01,34.0,1008.2,94.92,0.06
2022-09-06 07:00:00,0.0,24.4,0.82,61.0,1008.92,94.92,0.6
2022-09-06 08:00:00,0.0,24.92,0.61,0.0,1009.66,94.92,1.24
2022-09-06 09:00:00,0.0,26.2,2.44,30.0,1009.9,94.92,4.41
2022-09-06 10:00:00,0.0,27.28,2.08,14.0,1009.8,92.36,4.48
2022-09-06 11:00:00,0.0,27.5,6.05,322.0,1008.94,90.6,5.82
2022-09-06 12:00:00,0.2,32.4,9.69,188.0,1007.7,68.18,5.34
2022-09-06 13:00:00,0.0,26.66,24.19,169.0,1007.3,93.02,2.75
2022-09-06 14:00:00,0.0,28.8,18.35,168.0,1006.56,78.72,5.02
2022-09-06 15:00:00,0.0,27.6,14.195,248.5,1006.03,86.57,2.24
2022-09-06 16:00:00,0.0,26.4,10.04,329.0,1005.5,94.42,1.19
2022-09-06 17:00:00,0.0,26.4,7.89,322.0,1005.7,90.54,0.44
2022-09-06 18:00:00,0.0,26.049999999999997,6.25,322.0,1006.71,92.73,0.0
2022-09-06 19:00:00,0.0,25.7,4.61,322.0,1007.72,94.92,0.0
2022-09-06 20:00:00,0.0,25.0,7.4,279.0,1008.12,94.92,0.0
2022-09-06 21:00:00,0.0,24.6,1.07,155.0,1008.46,94.92,0.0
2022-09-06 22:00:00,0.0,24.2,0.83,196.0,1009.26,94.92,0.0
2022-09-06 23:00:00,0.0,24.0,1.97,15.0,1009.3,94.92,0.0
2022-09-07 00:00:00,0.0,23.82,0.0,15.0,1008.94,94.92,0.0
2022-09-07 01:00:00,0.0,23.8,0.18,37.0,1008.44,94.92,0.0
2022-09-07 02:00:00,0.0,23.2,1.43,332.0,1007.62,94.92,0.0
2022-09-07 03:00:00,0.0,23.0,1.8,352.0,1007.4,94.92,0.0
2022-09-07 04:00:00,0.0,23.44,1.34,0.0,1007.32,94.92,0.0
2022-09-07 05:00:00,0.0,23.38,0.76,285.0,1007.3,94.92,0.0
2022-09-07 06:00:00,0.0,23.32,0.94,188.0,1008.04,94.92,0.07
2022-09-07 07:00:00,0.0,24.4,1.12,209.0,1008.82,94.92,0.75
2022-09-07 08:00:00,0.0,26.4,6.09,259.0,1009.4,94.92,1.84
2022-09-07 09:00:00,0.0,28.5,7.35,255.0,1009.94,90.76,2.56
2022-09-07 10:00:00,0.0,29.8,7.85,201.0,1009.66,79.96,2.16
2022-09-07 11:00:00,0.0,32.2,7.84,167.0,1009.02,69.6,2.12
2022-09-07 12:00:00,0.0,32.4,9.69,188.0,1007.7,68.18,2.4
2022-09-07 13:00:00,0.0,26.66,24.19,169.0,1007.3,93.02,3.48
2022-09-07 14:00:00,0.0,28.8,18.35,168.0,1006.56,78.72,4.67
2022-09-07 15:00:00,0.0,30.8,17.61,162.0,1005.8,72.94,3.24
2022-09-07 16:00:00,0.0,31.0,16.96,170.0,1005.62,73.56,1.26
2022-09-07 17:00:00,0.0,29.5,18.11,165.0,1006.1,80.38,0.45
2022-09-07 18:00:00,0.0,27.9,11.76,164.0,1006.8,86.4,0.0
2022-09-07 19:00:00,0.0,26.8,2.43,142.0,1008.06,93.88,0.0
2022-09-07 20:00:00,0.0,26.1,1.15,118.0,1009.2,94.92,0.0
2022-09-07 21:00:00,0.0,25.7,5.48,8.0,1010.18,94.92,0.0
2022-09-07 22:00:00,0.0,25.6,4.08,61.0,1010.54,94.92,0.0
2022-09-07 23:00:00,0.0,25.26,4.04,61.0,1010.36,94.92,0.0
2022-09-08 00:00:00,0.0,24.66,10.91,9.0,1009.9,94.92,0.0
2022-09-08 01:00:00,0.0,24.2,9.85,0.0,1009.16,94.92,0.0
2022-09-08 02:00:00,0.0,24.0,8.11,0.0,1008.56,94.92,0.0
2022-09-08 03:00:00,0.0,23.8,10.58,60.0,1008.86,94.92,0.0
2022-09-08 04:00:00,0.0,23.9,7.77,32.0,1008.7,94.92,0.0
2022-09-08 05:00:00,0.0,23.9,4.36,0.0,1009.2,94.92,0.0
2022-09-08 06:00:00,0.0,23.5,11.45,34.0,1009.78,94.92,0.08
