Tanggal,Hujan,Temperatur,Kecepatan Angin,Kelembaban,Tekanan Udara,Arah Angin,UV,DoY,Bulan,Jam,,
2022-09-05 12:00:00,0,34.5,11.99,64.6,1007.34,1.117010721,0,244.6027397,9,12,,
2022-09-05 13:00:00,0,34.1,10.34,66.54,1006.58,0.331612558,0,244.6027397,9,13,,
2022-09-05 14:00:00,0,34.2,8.95,63.22,1005.3,0.802851456,0,244.6027397,9,14,,
2022-09-05 15:00:00,0,33.4,8.2,67.26,1004.7,1.099557429,0,244.6027397,9,15,,
2022-09-05 16:00:00,0,31.1,11.25,71.64,1004.84,0,0,244.6027397,9,16,,
2022-09-05 17:00:00,0,30,8.67,71.46,1005.28,0,0,244.6027397,9,17,,
2022-09-05 18:00:00,0,28,4.14,83.5,1007.02,0.593411946,0,244.6027397,9,18,,
2022-09-05 19:00:00,0,26.9,2.95,89.38,1007.88,1.134464014,0,244.6027397,9,19,,
2022-09-05 20:00:00,0,26.7,0.46,92.46,1008.82,0.785398163,0,244.6027397,9,20,,
2022-09-05 21:00:00,0,25.5,0.74,94.92,1009.4,0.523598776,0,244.6027397,9,21,,
2022-09-05 22:00:00,0,24.6,0.27,94.92,1009.26,1.099557429,0,244.6027397,9,22,,
2022-09-05 23:00:00,0,24.8,0.19,94.92,1009.34,0.645771823,0,244.6027397,9,23,,
2022-09-06 00:00:00,0,24.7,0.85,94.92,1008.9,1.413716694,0,245.5890411,9,0,,
2022-09-06 01:00:00,0,24.04,0.09,94.92,1008.2,0.523598776,0,245.5890411,9,1,,
2022-09-06 02:00:00,0,24.16,0.96,94.92,1007.7,0.907571211,0,245.5890411,9,2,,
2022-09-06 03:00:00,0,24.04,1.64,94.92,1007.42,0,0,245.5890411,9,3,,
2022-09-06 04:00:00,0,23.9,1.1,94.92,1007.16,0.453785606,0,245.5890411,9,4,,
2022-09-06 05:00:00,0,23.94,0.51,94.92,1007.2,0.41887902,0,245.5890411,9,5,,
2022-09-06 06:00:00,0,24,1.01,94.92,1008.2,0.593411946,0,245.5890411,9,6,,
2022-09-06 07:00:00,0,24.4,0.82,94.92,1008.92,1.064650844,0,245.5890411,9,7,,
2022-09-06 08:00:00,0,24.92,0.61,94.92,1009.66,0,0,245.5890411,9,8,,
2022-09-06 09:00:00,0,26.2,2.44,94.92,1009.9,0.523598776,0,245.5890411,9,9,,
2022-09-06 10:00:00,0,27.28,2.08,92.36,1009.8,0.244346095,0,245.5890411,9,10,,
2022-09-06 11:00:00,0,27.5,6.05,90.6,1008.94,5.619960191,0,245.5890411,9,11,,
2022-09-06 12:00:00,0.2,0,1.13,0,0,0.541052068,0,245.5890411,9,12,,
2022-09-06 13:00:00,0,0,0,0,0,0.541052068,0,245.5890411,9,13,,
2022-09-06 14:00:00,0,0,0,0,0,0.541052068,0,245.5890411,9,14,,
2022-09-06 15:00:00,0,13.2,5.02,47.21,502.75,3.141592654,0,245.5890411,9,15,,
2022-09-06 16:00:00,0,26.4,10.04,94.42,1005.5,5.742133239,0,245.5890411,9,16,,
2022-09-06 17:00:00,0,26.4,7.89,90.54,1005.7,5.619960191,0,245.5890411,9,17,,
2022-09-06 18:00:00,0,26.05,6.25,92.73,1006.71,5.619960191,0,245.5890411,9,18,,
2022-09-06 19:00:00,0,25.7,4.61,94.92,1007.72,5.619960191,0,245.5890411,9,19,,
2022-09-06 20:00:00,0,25,7.4,94.92,1008.12,4.869468613,0,245.5890411,9,20,,
2022-09-06 21:00:00,0,24.6,1.07,94.92,1008.46,2.705260341,0,245.5890411,9,21,,
2022-09-06 22:00:00,0,24.2,0.83,94.92,1009.26,3.420845334,0,245.5890411,9,22,,
2022-09-06 23:00:00,0,24,1.97,94.92,1009.3,0.261799388,0,245.5890411,9,23,,
