Tanggal,Hujan,Temperatur,Kecepatan Angin,Arah Angin,Tekanan Udara,Kelembaban,UV,DoY,Bulan,Jam
9/5/2022 12:00,0,34.5,11.99,1.117010721,1007.34,64.6,0,244.6027397,9,12
9/5/2022 13:00,0,34.1,10.34,0.331612558,1006.58,66.54,0,244.6027397,9,13
9/5/2022 14:00,0,34.2,8.95,0.802851456,1005.3,63.22,0,244.6027397,9,14
9/5/2022 15:00,0,33.4,8.2,1.099557429,1004.7,67.26,0,244.6027397,9,15
9/5/2022 16:00,0,31.1,11.25,0,1004.84,71.64,0,244.6027397,9,16
9/5/2022 17:00,0,30,8.67,0,1005.28,71.46,0,244.6027397,9,17
9/5/2022 18:00,0,28,4.14,0.593411946,1007.02,83.5,0,244.6027397,9,18
9/5/2022 19:00,0,26.9,2.95,1.134464014,1007.88,89.38,0,244.6027397,9,19
9/5/2022 20:00,0,26.7,0.46,0.785398163,1008.82,92.46,0,244.6027397,9,20
9/5/2022 21:00,0,25.5,0.74,0.523598776,1009.4,94.92,0,244.6027397,9,21
9/5/2022 22:00,0,24.6,0.27,1.099557429,1009.26,94.92,0,244.6027397,9,22
9/5/2022 23:00,0,24.8,0.19,0.645771823,1009.34,94.92,0,244.6027397,9,23
9/6/2022 0:00,0,24.7,0.85,1.413716694,1008.9,94.92,0,245.5890411,9,0
9/6/2022 1:00,0,24.04,0.09,0.523598776,1008.2,94.92,0,245.5890411,9,1
9/6/2022 2:00,0,24.16,0.96,0.907571211,1007.7,94.92,0,245.5890411,9,2
9/6/2022 3:00,0,24.04,1.64,0,1007.42,94.92,0,245.5890411,9,3
9/6/2022 4:00,0,23.9,1.1,0.453785606,1007.16,94.92,0,245.5890411,9,4
9/6/2022 5:00,0,23.94,0.51,0.41887902,1007.2,94.92,0,245.5890411,9,5
9/6/2022 6:00,0,24,1.01,0.593411946,1008.2,94.92,0,245.5890411,9,6
9/6/2022 7:00,0,24.4,0.82,1.064650844,1008.92,94.92,0,245.5890411,9,7
9/6/2022 8:00,0,24.92,0.61,0,1009.66,94.92,0,245.5890411,9,8
9/6/2022 9:00,0,26.2,2.44,0.523598776,1009.9,94.92,0,245.5890411,9,9
9/6/2022 10:00,0,27.28,2.08,0.244346095,1009.8,92.36,0,245.5890411,9,10
9/6/2022 11:00,0,27.5,6.05,5.619960191,1008.94,90.6,0,245.5890411,9,11
9/6/2022 12:00,0.2,27.5,1.13,0.541052068,1008.94,90.6,0,245.5890411,9,12
9/6/2022 13:00,0,27.5,0,0.541052068,1008.94,90.6,0,245.5890411,9,13
9/6/2022 14:00,0,27.5,0,0.541052068,1008.94,90.6,0,245.5890411,9,14
9/6/2022 15:00,0,13.2,5.02,3.141592654,502.75,47.21,0,245.5890411,9,15
9/6/2022 16:00,0,26.4,10.04,5.742133239,1005.5,94.42,0,245.5890411,9,16
9/6/2022 17:00,0,26.4,7.89,5.619960191,1005.7,90.54,0,245.5890411,9,17
9/6/2022 18:00,0,26.05,6.25,5.619960191,1006.71,92.73,0,245.5890411,9,18
9/6/2022 19:00,0,25.7,4.61,5.619960191,1007.72,94.92,0,245.5890411,9,19
9/6/2022 20:00,0,25,7.4,4.869468613,1008.12,94.92,0,245.5890411,9,20
9/6/2022 21:00,0,24.6,1.07,2.705260341,1008.46,94.92,0,245.5890411,9,21
9/6/2022 22:00,0,24.2,0.83,3.420845334,1009.26,94.92,0,245.5890411,9,22
9/6/2022 23:00,0,24,1.97,0.261799388,1009.3,94.92,0,245.5890411,9,23
9/7/2022 0:00,0,23.82,0,0.261799388,1008.94,94.92,0,246.5753425,9,0
9/7/2022 1:00,0,23.8,0.18,0.645771823,1008.44,94.92,0,246.5753425,9,1
9/7/2022 2:00,0,23.2,1.43,5.794493117,1007.62,94.92,0,246.5753425,9,2
9/7/2022 3:00,0,23,1.8,6.143558967,1007.4,94.92,0,246.5753425,9,3
9/7/2022 4:00,0,23.44,1.34,0,1007.32,94.92,0,246.5753425,9,4
9/7/2022 5:00,0,23.38,0.76,4.974188368,1007.3,94.92,0,246.5753425,9,5
9/7/2022 6:00,0,23.32,0.94,3.281218994,1008.04,94.92,0,246.5753425,9,6
9/7/2022 7:00,0,24.4,1.12,3.647738137,1008.82,94.92,0,246.5753425,9,7
9/7/2022 8:00,0,26.4,6.09,4.520402763,1009.4,94.92,0,246.5753425,9,8
9/7/2022 9:00,0,28.5,7.35,4.450589593,1009.94,90.76,0,246.5753425,9,9
9/7/2022 10:00,0,29.8,7.85,3.508111797,1009.66,79.96,0,246.5753425,9,10
9/7/2022 11:00,0,32.2,7.84,2.914699851,1009.02,69.6,0,246.5753425,9,11
9/7/2022 12:00,0,32.4,9.69,3.281218994,1007.7,68.18,0,246.5753425,9,12
9/7/2022 13:00,0,26.66,24.19,2.949606436,1007.3,93.02,0,246.5753425,9,13
9/7/2022 14:00,0,28.8,18.35,2.932153143,1006.56,78.72,0,246.5753425,9,14
9/7/2022 15:00,0,30.8,17.61,2.827433388,1005.8,72.94,0,246.5753425,9,15
9/7/2022 16:00,0,31,16.96,2.967059728,1005.62,73.56,0,246.5753425,9,16
9/7/2022 17:00,0,29.5,18.11,2.879793266,1006.1,80.38,0,246.5753425,9,17
9/7/2022 18:00,0,27.9,11.76,2.862339973,1006.8,86.4,0,246.5753425,9,18
9/7/2022 19:00,0,26.8,2.43,2.478367538,1008.06,93.88,0,246.5753425,9,19
9/7/2022 20:00,0,26.1,1.15,2.059488517,1009.2,94.92,0,246.5753425,9,20
9/7/2022 21:00,0,25.7,5.48,0.13962634,1010.18,94.92,0,246.5753425,9,21
9/7/2022 22:00,0,25.6,4.08,1.064650844,1010.54,94.92,0,246.5753425,9,22
9/7/2022 23:00,0,25.26,4.04,1.064650844,1010.36,94.92,0,246.5753425,9,23
9/8/2022 0:00,0,24.66,10.91,0.157079633,1009.9,94.92,0,247.5616438,9,0
9/8/2022 1:00,0,24.2,9.85,0,1009.16,94.92,0,247.5616438,9,1
9/8/2022 2:00,0,24,8.11,0,1008.56,94.92,0,247.5616438,9,2
9/8/2022 3:00,0,23.8,10.58,1.047197551,1008.86,94.92,0,247.5616438,9,3
9/8/2022 4:00,0,23.9,7.77,0.558505361,1008.7,94.92,0,247.5616438,9,4
9/8/2022 5:00,0,23.9,4.36,0,1009.2,94.92,0,247.5616438,9,5
9/8/2022 6:00,0,23.5,11.45,0.593411946,1009.78,94.92,0,247.5616438,9,6
